calendar_month,scenario,gf_cash_operating,gf_cash_with_interfund
2026-04,conservative,38967794,38967794
2026-05,conservative,37317287,29997287
2026-06,conservative,14680415,7360415
2026-07,conservative,11898512,4578512
2026-08,conservative,6081102,-1238898
2026-09,conservative,1162843,-6157157
2026-10,conservative,32179962,22619162
2026-11,conservative,25941827,16381027
2026-12,conservative,27456079,17895279
2027-01,conservative,20236565,10675765
2027-02,conservative,13777302,4216502
2027-03,conservative,10934651,1373851
2027-04,conservative,37192000,27631200
2027-05,conservative,35328994,25768194
2027-06,conservative,11843585,2282785
2026-04,base,40100261,40100261
2026-05,base,38976480,31656480
2026-06,base,17073786,9753786
2026-07,base,14474017,7154017
2026-08,base,8853393,1533393
2026-09,base,4697333,-2622667
2026-10,base,37751720,28190920
2026-11,base,32230310,22669510
2026-12,base,34709517,25148717
2027-01,base,28227427,18666627
2027-02,base,22540098,12979298
2027-03,base,20518271,10957471
2027-04,base,48549500,38988700
2027-05,base,47569893,38009093
2027-06,base,25402388,15841588
2026-04,optimistic,40607195,40607195
2026-05,optimistic,39888060,32568060
2026-06,optimistic,18799976,11479976
2026-07,optimistic,16361252,9041252
2026-08,optimistic,10941977,3621977
2026-09,optimistic,7394453,74453
2026-10,optimistic,41645791,32084991
2026-11,optimistic,36712303,27151503
2026-12,optimistic,39886627,30325827
2027-01,optimistic,34017235,24456435
2027-02,optimistic,28960594,19399794
2027-03,optimistic,27570239,18009439
2027-04,optimistic,56650963,47090163
2027-05,optimistic,56339330,46778530
2027-06,optimistic,35369765,25808965
